Title,Header,Type,Date,Country,Amount
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Canada,"839,759,448 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,China,"15,980,934,535 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Ireland,"108,026,250 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Kiribati,"1,151,892 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Sao Tome and Principe,"1,022,178 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Japan,"839,397,712 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,South Africa,"1,011,626,716 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Ethiopia,"92,628,628 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Philippines,"1,236,856,068 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Mexico,"2,114,904,841 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Guinea-Bissau,"4,344,119 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Fiji,"14,094,096 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Malta,"2,728,750 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Brazil,"6,240,361,921 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,Saudi Arabia,"653,489,018 animals"
Number of land animals slaughtered for meat per year,"This data is based on the country of production, not consumption.",,2022,European Union (27) (FAO),"6,980,408,876 animals"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Upper-middle-income countries,"39,173,868 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Saudi Arabia,"2,416,579 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Democratic Republic of Congo,"80,132 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Brunei,"10,835 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,United Kingdom,"608,982 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Bulgaria,"81,902 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,China,"19,648,912 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Japan,"1,595,120 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Honduras,"133,629 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,High-income countries,"22,323,780 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Philippines,"697,309 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Gibraltar,"1,678 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Laos,"143,934 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Madagascar,"76,546 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Lithuania,"48,416 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Marshall Islands,366 t
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Malawi,"33,120 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Denmark,"72,946 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Canada,"1,335,066 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,South Africa,"1,666,008 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Singapore,"108,002 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Mexico,"1,149,976 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Germany,"762,917 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Hong Kong,"147,211 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Palau,"7,083 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Hungary,"91,161 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Brazil,"2,591,706 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Tonga,"1,004 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,United States,"6,837,542 t"
Emissions of air pollutants,,Nitrogen oxide (NOx),2022,Niger,"41,725 t"
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Madagascar,0.1 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,United States,14.9 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Mexico,4.0 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Brazil,2.2 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,British Virgin Islands,5.0 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,United Kingdom,4.7 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Mongolia,11.2 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,South Africa,6.7 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Georgia,3.0 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Burkina Faso,0.3 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,El Salvador,1.2 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Cambodia,1.2 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,High-income countries,10.1 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Qatar,37.6 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,China,8.0 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Saudi Arabia,18.2 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Philippines,1.3 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Iraq,4.0 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Dominica,2.1 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Eritrea,0.2 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Uzbekistan,3.5 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Malawi,0.1 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Japan,8.5 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Bermuda,6.9 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Liberia,0.2 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Bahamas,5.2 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Germany,8.0 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,New Caledonia,17.6 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Canada,14.2 t
Per capita CO₂ emissions,Carbon dioxide (CO₂) emissions from fossil fuels and industry . Land-use change is not included.,,2022,Burundi,0.1 t
Global warming: monthly temperature anomaly,The combined land-surface air and sea-surface water temperature anomaly is given as the deviation from the 1951–1980 mean.,,"Jun 15, 2024",World,1.21 °C
Global warming: monthly temperature anomaly,The combined land-surface air and sea-surface water temperature anomaly is given as the deviation from the 1951–1980 mean.,,"Jun 15, 2024",Southern Hemisphere,0.90 °C
Global warming: monthly temperature anomaly,The combined land-surface air and sea-surface water temperature anomaly is given as the deviation from the 1951–1980 mean.,,"Jun 15, 2024",Northern Hemisphere,1.54 °C
Deaths in armed conflicts,"Included are deaths of combatants and civilians due to fighting in interstate , intrastate , extrasystemic , non-state conflicts, and one-sided violence that were ongoing that year.",One-sided violence,2022,World,"11,846"
Deaths in armed conflicts,"Included are deaths of combatants and civilians due to fighting in interstate , intrastate , extrasystemic , non-state conflicts, and one-sided violence that were ongoing that year.",One-sided violence,2022,Asia and Oceania,"1,456"
Deaths in armed conflicts,"Included are deaths of combatants and civilians due to fighting in interstate , intrastate , extrasystemic , non-state conflicts, and one-sided violence that were ongoing that year.",One-sided violence,2022,Europe,"1,112"
Deaths in armed conflicts,"Included are deaths of combatants and civilians due to fighting in interstate , intrastate , extrasystemic , non-state conflicts, and one-sided violence that were ongoing that year.",One-sided violence,2022,Middle East,432
Deaths in armed conflicts,"Included are deaths of combatants and civilians due to fighting in interstate , intrastate , extrasystemic , non-state conflicts, and one-sided violence that were ongoing that year.",One-sided violence,2022,Americas,386
Deaths in armed conflicts,"Included are deaths of combatants and civilians due to fighting in interstate , intrastate , extrasystemic , non-state conflicts, and one-sided violence that were ongoing that year.",One-sided violence,2022,Africa,"8,460"
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Spain,0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Japan,0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Tunisia,0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,United Kingdom,0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,East Germany,0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,South Africa,0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,China,0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Turkey,128
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Canada,0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Egypt,157
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Saudi Arabia,31
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,United States,1
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Netherlands,0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Nicaragua,0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Mexico,"14,207"
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Saint Kitts and Nevis,0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Slovakia,0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Uganda,147
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Cambodia,0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Libya,0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Turkmenistan,0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Trinidad and Tobago,0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Micronesia (country),0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Liberia,0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Kyrgyzstan,74
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Ghana,0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Sri Lanka,0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Iceland,0
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,Brazil,"1,480"
Deaths in armed conflicts based on where they occurred,Included are deaths of combatants and civilians due to fighting in armed conflicts that were ongoing that year.,,2022,San Marino,0
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Slovenia,0.50 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Nepal,0.55 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Eswatini,1.55 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Saudi Arabia,1.49 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Northern America (FAO),3.40 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,China (FAO),3.64 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Jordan,4.99 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Cote d'Ivoire,0.59 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Iraq,1.31 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Mexico,1.43 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Yemen,1.64 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Western Asia (FAO),1.87 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Afghanistan,1.73 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Argentina,1.80 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Upper-middle-income countries,2.12 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Iran,1.20 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Western Africa (FAO),0.57 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,United States,3.40 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Southern Europe (FAO),0.45 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Lower-middle-income countries,0.87 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Spain,0.32 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,European Union (27),0.45 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Cyprus,0.17 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,European Union (27) (FAO),0.45 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,China,3.64 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Burkina Faso,0.56 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Kyrgyzstan,3.06 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,North America,3.40 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Uzbekistan,11.44 t
Almond: Yield,Yields are measured in tonnes per hectare.,,2022,Net Food Importing Developing Countries (FAO),0.72 t
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,South Africa,0.69
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Bangladesh,0.25
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Cyprus,0.77
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Yemen,0.13
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,United Kingdom,0.85
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Spain,0.84
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Denmark,0.92
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Honduras,0.53
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Mexico,0.53
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Estonia,0.90
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Chile,0.84
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Ethiopia,0.28
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Cape Verde,0.75
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Greece,0.75
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,China,0.07
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Sierra Leone,0.50
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Saudi Arabia,0.01
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,United States,0.85
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Belgium,0.90
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Brazil,0.78
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Japan,0.82
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Canada,0.86
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Ghana,0.66
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,United Arab Emirates,0.10
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Fiji,0.50
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Nigeria,0.49
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,Georgia,0.60
Electoral democracy index,"Based on the expert estimates and index by V-Dem . It captures to which extent political leaders are elected under comprehensive voting rights in free and fair elections, and freedoms of association and expression are guaranteed. It ranges from 0 to 1 (most democratic).",,2023,North Korea,0.08
Gini coefficient,The Gini coefficient measures inequality on a scale from 0 to 1. Higher values indicate higher inequality. Inequality is measured here in terms of income before taxes and benefits.,,2022,Middle East (WID),0.68
Gini coefficient,The Gini coefficient measures inequality on a scale from 0 to 1. Higher values indicate higher inequality. Inequality is measured here in terms of income before taxes and benefits.,,2022,Bahamas,0.65
Gini coefficient,The Gini coefficient measures inequality on a scale from 0 to 1. Higher values indicate higher inequality. Inequality is measured here in terms of income before taxes and benefits.,,2022,South Africa,0.75
Gini coefficient,The Gini coefficient measures inequality on a scale from 0 to 1. Higher values indicate higher inequality. Inequality is measured here in terms of income before taxes and benefits.,,2022,Turkmenistan,0.60
Gini coefficient,The Gini coefficient measures inequality on a scale from 0 to 1. Higher values indicate higher inequality. Inequality is measured here in terms of income before taxes and benefits.,,2022,Austria,0.44
Gini coefficient,The Gini coefficient measures inequality on a scale from 0 to 1. Higher values indicate higher inequality. Inequality is measured here in terms of income before taxes and benefits.,,2022,Sudan,0.55
Gini coefficient,The Gini coefficient measures inequality on a scale from 0 to 1. Higher values indicate higher inequality. Inequality is measured here in terms of income before taxes and benefits.,,2022,Saudi Arabia,0.65
Gini coefficient,The Gini coefficient measures inequality on a scale from 0 to 1. Higher values indicate higher inequality. Inequality is measured here in terms of income before taxes and benefits.,,2022,Burkina Faso,0.65
Gini coefficient,The Gini coefficient measures inequality on a scale from 0 to 1. Higher values indicate higher inequality. Inequality is measured here in terms of income before taxes and benefits.,,2022,Spain,0.46
Gini coefficient,The Gini coefficient measures inequality on a scale from 0 to 1. Higher values indicate higher inequality. Inequality is measured here in terms of income before taxes and benefits.,,2022,Japan,0.54
Gini coefficient,The Gini coefficient measures inequality on a scale from 0 to 1. Higher values indicate higher inequality. Inequality is measured here in terms of income before taxes and benefits.,,2022,United Kingdom,0.46
Gini coefficient,The Gini coefficient measures inequality on a scale from 0 to 1. Higher values indicate higher inequality. Inequality is measured here in terms of income before taxes and benefits.,,2022,East Africa (WID),0.64
Gini coefficient,The Gini coefficient measures inequality on a scale from 0 to 1. Higher values indicate higher inequality. Inequality is measured here in terms of income before taxes and benefits.,,2022,Albania,0.47
Gini coefficient,The Gini coefficient measures inequality on a scale from 0 to 1. Higher values indicate higher inequality. Inequality is measured here in terms of income before taxes and benefits.,,2022,Palestine,0.61
Gini coefficient,The Gini coefficient measures inequality on a scale from 0 to 1. Higher values indicate higher inequality. Inequality is measured here in terms of income before taxes and benefits.,,2022,Papua New Guinea,0.63
Gini coefficient,The Gini coefficient measures inequality on a scale from 0 to 1. Higher values indicate higher inequality. Inequality is measured here in terms of income before taxes and benefits.,,2022,Egypt,0.57
